settlement_id,invoice_id,true_class,should_match,match_type
STL-000101,INV-000101,exact_match,True,1:1
STL-000102,INV-000102,partial_refund,False,1:1
STL-000103,INV-000103,timing_difference,True,1:1
STL-000104,INV-000104,exact_match,True,1:1
STL-000105,INV-000105,exact_match,True,1:1
STL-000106,INV-000106,exact_match,True,1:1
STL-000107,INV-000107,duplicate,False,1:1
STL-000108,INV-000108,fee_or_rounding,True,1:1
STL-000109,INV-000109,fee_or_rounding,True,1:1
STL-000110,INV-000110,exact_match,True,1:1
STL-000111,INV-000111,exact_match,True,1:1
STL-000112,INV-000112,exact_match,True,1:1
STL-000113,INV-000113,exact_match,True,1:1
STL-000114,INV-000114,exact_match,True,1:1
STL-000115,INV-000115,fee_or_rounding,True,1:1
STL-000116,INV-000116,exact_match,True,1:1
STL-000117,INV-000117,duplicate,False,1:1
STL-000118,INV-000118,exact_match,True,1:1
STL-000119,INV-000119,partial_refund,False,1:1
STL-000120,INV-000120,duplicate,False,1:1
STL-000121,INV-000121,partial_refund,False,1:1
STL-000122,INV-000122,exact_match,True,1:1
STL-000123,INV-000123,exact_match,True,1:1
STL-000124,INV-000124,exact_match,True,1:1
STL-000125,INV-000125,exact_match,True,1:1
STL-000126,INV-000126,exact_match,True,1:1
STL-000127,INV-000127,exact_match,True,1:1
STL-000128,INV-000128,exact_match,True,1:1
STL-000129,INV-000129,exact_match,True,1:1
STL-000130,INV-000130,exact_match,True,1:1
STL-000131,INV-000131,exact_match,True,1:1
STL-000132,INV-000132,exact_match,True,1:1
STL-000133,INV-000133,exact_match,True,1:1
STL-000134,INV-000134,timing_difference,True,1:1
STL-000135,INV-000135,exact_match,True,1:1
STL-000136,INV-000136,exact_match,True,1:1
STL-000137,INV-000137,exact_match,True,1:1
STL-000138,INV-000138,exact_match,True,1:1
STL-000139,INV-000139,exact_match,True,1:1
STL-000140,INV-000140,exact_match,True,1:1
STL-000141,INV-000141,exact_match,True,1:1
STL-000142,INV-000142,partial_refund,False,1:1
STL-000143,INV-000143,partial_refund,False,1:1
STL-000144,INV-000144,exact_match,True,1:1
STL-000145,INV-000145,exact_match,True,1:1
STL-000146,INV-000146,timing_difference,True,1:1
STL-000147,INV-000147,exact_match,True,1:1
STL-000148,INV-000148,duplicate,False,1:1
STL-000149,INV-000149,exact_match,True,1:1
STL-000150,INV-000150,exact_match,True,1:1
STL-000151,INV-000151,exact_match,True,1:1
STL-000152,INV-000152,exact_match,True,1:1
STL-000153,INV-000153,exact_match,True,1:1
STL-000154,INV-000154,exact_match,True,1:1
STL-000155,INV-000155,exact_match,True,1:1
STL-000156,INV-000156,fee_or_rounding,True,1:1
STL-000157,INV-000157,exact_match,True,1:1
STL-000158,INV-000158,exact_match,True,1:1
STL-000159,INV-000159,partial_refund,False,1:1
STL-000160,INV-000160,duplicate,False,1:1
STL-000161,INV-000161,exact_match,True,1:1
STL-000162,INV-000162,exact_match,True,1:1
STL-000163,INV-000163,exact_match,True,1:1
STL-000164,INV-000164,timing_difference,True,1:1
STL-000165,INV-000165,exact_match,True,1:1
STL-000166,INV-000166,exact_match,True,1:1
STL-000167,INV-000167,exact_match,True,1:1
STL-000168,INV-000168,exact_match,True,1:1
STL-000169,INV-000169,exact_match,True,1:1
STL-000170,INV-000170,exact_match,True,1:1
STL-000171,INV-000171,exact_match,True,1:1
STL-000172,INV-000172,duplicate,False,1:1
STL-000173,INV-000173,fee_or_rounding,True,1:1
STL-000174,INV-000174,exact_match,True,1:1
STL-000175,INV-000175,timing_difference,True,1:1
STL-000176,INV-000176,exact_match,True,1:1
STL-000177,INV-000177,exact_match,True,1:1
STL-000178,INV-000178,duplicate,False,1:1
STL-000179,INV-000179,exact_match,True,1:1
STL-000180,INV-000180,exact_match,True,1:1
STL-000181,INV-000181,fee_or_rounding,True,1:1
STL-000182,INV-000182,exact_match,True,1:1
STL-000183,INV-000183,partial_refund,False,1:1
STL-000184,INV-000184,exact_match,True,1:1
STL-000185,INV-000185,exact_match,True,1:1
STL-000186,INV-000186,timing_difference,True,1:1
STL-000187,INV-000187,exact_match,True,1:1
STL-000188,INV-000188,exact_match,True,1:1
STL-000189,INV-000189,exact_match,True,1:1
STL-000190,INV-000190,timing_difference,True,1:1
STL-000191,INV-000191,exact_match,True,1:1
STL-000192,INV-000192,partial_refund,False,1:1
STL-000193,INV-000193,exact_match,True,1:1
STL-000194,INV-000194,exact_match,True,1:1
STL-000195,INV-000195,partial_refund,False,1:1
STL-000196,INV-000196,exact_match,True,1:1
STL-000197,INV-000197,exact_match,True,1:1
STL-000198,INV-000198,exact_match,True,1:1
STL-000199,INV-000199,exact_match,True,1:1
STL-000200,INV-000200,partial_refund,False,1:1
STL-000201,INV-000201,exact_match,True,1:1
STL-000202,INV-000202,partial_refund,False,1:1
STL-000203,INV-000203,exact_match,True,1:1
STL-000204,INV-000204,exact_match,True,1:1
STL-000205,INV-000205,exact_match,True,1:1
STL-000206,INV-000206,fee_or_rounding,True,1:1
STL-000207,INV-000207,duplicate,False,1:1
STL-000208,INV-000208,exact_match,True,1:1
STL-000209,INV-000209,exact_match,True,1:1
STL-000210,INV-000210,exact_match,True,1:1
STL-000211,INV-000211,duplicate,False,1:1
STL-000212,INV-000212,exact_match,True,1:1
STL-000213,INV-000213,duplicate,False,1:1
STL-000214,INV-000214,exact_match,True,1:1
STL-000215,INV-000215,exact_match,True,1:1
STL-000216,INV-000216,exact_match,True,1:1
STL-000217,INV-000217,exact_match,True,1:1
STL-000218,INV-000218,exact_match,True,1:1
STL-000219,INV-000219,exact_match,True,1:1
STL-000220,INV-000220,exact_match,True,1:1
STL-000221,INV-000221,exact_match,True,1:1
STL-000222,INV-000222,exact_match,True,1:1
STL-000223,INV-000223,exact_match,True,1:1
STL-000224,INV-000224,fee_or_rounding,True,1:1
STL-000225,INV-000225,exact_match,True,1:1
STL-000226,INV-000226,exact_match,True,1:1
STL-000227,INV-000227,timing_difference,True,1:1
STL-000228,INV-000228,fee_or_rounding,True,1:1
STL-000229,INV-000229,fee_or_rounding,True,1:1
STL-000230,INV-000230,exact_match,True,1:1
STL-000231,INV-000231,timing_difference,True,1:1
STL-000232,INV-000232,duplicate,False,1:1
STL-000233,INV-000233,timing_difference,True,1:1
STL-000234,INV-000235,exact_match,True,1:1
STL-000235,INV-000237,exact_match,True,1:1
STL-000236,INV-000239,exact_match,True,1:1
STL-000237,INV-000239,duplicate,False,1:1
STL-000238,INV-000240,exact_match,True,1:1
STL-000239,INV-000240,fee_or_rounding,True,1:1
STL-000240,INV-000241,exact_match,True,1:1
STL-000241,INV-000241,exact_match,True,1:1
STL-000242,INV-000242,exact_match,True,1:1
STL-000243,INV-000243,exact_match,True,1:1
STL-000244,INV-000243,fee_or_rounding,True,1:1
STL-000245,INV-000244,partial_refund,False,1:1
STL-000246,INV-000244,exact_match,True,1:1
STL-000247,INV-000245,timing_difference,True,1:1
STL-000248,INV-000246,duplicate,False,1:1
STL-000249,INV-000246,timing_difference,True,1:1
STL-000250,,genuinely_missing,False,n/a
STL-000251,,genuinely_missing,False,n/a
STL-000252,INV-000250,timing_difference,True,1:1
STL-000253,INV-000251,exact_match,True,1:1
STL-000254,INV-000252,fee_or_rounding,True,1:1
