settlement_id,utr_reference,amount_inr,settlement_date,fee_inr,tax_inr,narration,batch_id
STL-000001,UTR-SYN-000001,1163900,2026-08-08,15535,2796,Settlement for INV-000001 batch BATCH-000001,BATCH-000001
STL-000002,UTR-SYN-000002,9558000,2026-08-02,99852,17973,Settlement for INV-000002 batch BATCH-000002,BATCH-000002
STL-000003,UTR-SYN-000003,27300,2026-08-18,354,63,Settlement for INV-000003 batch BATCH-000003,BATCH-000003
STL-000004,UTR-SYN-000004,16557400,2026-08-19,234665,42239,Settlement for INV-000004 batch BATCH-000004,BATCH-000004
STL-000005,UTR-SYN-000005,41602600,2026-08-11,589428,106097,Settlement for INV-000005 batch BATCH-000005,BATCH-000005
STL-000006,UTR-SYN-000006,9862500,2026-08-04,151731,27311,Settlement for INV-000006 batch BATCH-000006,BATCH-000006
STL-000007,UTR-SYN-000007,43258900,2026-08-18,513586,92445,Settlement for INV-000007 batch BATCH-000007,BATCH-000007
STL-000008,UTR-SYN-000008,1516400,2026-08-27,29463,5303,Settlement for INV-000008 batch BATCH-000008,BATCH-000008
STL-000009,UTR-SYN-000009,95600,2026-08-02,1904,342,Settlement for INV-000009 batch BATCH-000009,BATCH-000009
STL-000010,UTR-SYN-000010,574100,2026-08-04,9014,1622,Settlement for INV-000010 batch BATCH-000010,BATCH-000010
STL-000011,UTR-SYN-000011,2065900,2026-08-07,41426,7456,Settlement for INV-000011 batch BATCH-000011,BATCH-000011
STL-000012,UTR-SYN-000012,216900,2026-08-18,4541,817,Settlement for INV-000012 batch BATCH-000012,BATCH-000012
STL-000013,UTR-SYN-000013,857300,2026-08-22,12743,2293,Settlement for INV-000013 batch BATCH-000013,BATCH-000013
STL-000014,UTR-SYN-000014,83600,2026-08-26,1231,221,Settlement for INV-000014 batch BATCH-000014,BATCH-000014
STL-000015,UTR-SYN-000015,2382600,2026-08-07,47250,8505,Settlement for INV-000015 batch BATCH-000015,BATCH-000015
STL-000016,UTR-SYN-000016,851700,2026-08-08,18034,3246,Settlement for INV-000016 batch BATCH-000016,BATCH-000016
STL-000017,UTR-SYN-000017,27462200,2026-08-12,364967,65694,Settlement for INV-000017 batch BATCH-000017,BATCH-000017
STL-000018,UTR-SYN-000018,19100,2026-08-04,234,42,Settlement for INV-000018 batch BATCH-000018,BATCH-000018
STL-000019,UTR-SYN-000019,8330600,2026-08-13,157767,28398,Settlement for INV-000019 batch BATCH-000019,BATCH-000019
STL-000020,UTR-SYN-000020,52900,2026-08-22,1100,198,Settlement for INV-000020 batch BATCH-000020,BATCH-000020
STL-000021,UTR-SYN-000021,2748600,2026-08-04,39586,7125,Settlement for INV-000021 batch BATCH-000021,BATCH-000021
STL-000022,UTR-SYN-000022,1021200,2026-08-17,21883,3938,Settlement for INV-000022 batch BATCH-000022,BATCH-000022
STL-000023,UTR-SYN-000023,274300,2026-08-05,4281,770,Settlement for INV-000023 batch BATCH-000023,BATCH-000023
STL-000024,UTR-SYN-000024,4475700,2026-08-16,46064,8291,Settlement for INV-000024 batch BATCH-000024,BATCH-000024
STL-000025,UTR-SYN-000025,603800,2026-08-19,14614,2630,Settlement for INV-000025 batch BATCH-000025,BATCH-000025
STL-000026,UTR-SYN-000026,896200,2026-08-05,17831,3209,Settlement for INV-000026 batch BATCH-000026,BATCH-000026
STL-000027,UTR-SYN-000027,32665300,2026-08-07,781801,140724,Settlement for INV-000027 batch BATCH-000027,BATCH-000027
STL-000028,UTR-SYN-000028,3042800,2026-08-15,71488,12867,Settlement for INV-000028 batch BATCH-000028,BATCH-000028
STL-000029,UTR-SYN-000029,51200,2026-08-11,528,95,Settlement for INV-000029 batch BATCH-000029,BATCH-000029
STL-000030,UTR-SYN-000030,61700,2026-08-03,1272,228,Settlement for INV-000030 batch BATCH-000030,BATCH-000030
STL-000031,UTR-SYN-000031,1441700,2026-08-03,25535,4596,Settlement for INV-000031 batch BATCH-000031,BATCH-000031
STL-000032,UTR-SYN-000032,895300,2026-08-24,21516,3872,Settlement for INV-000032 batch BATCH-000032,BATCH-000032
STL-000033,UTR-SYN-000033,46136600,2026-08-26,743071,133752,Settlement for INV-000033 batch BATCH-000033,BATCH-000033
STL-000034,UTR-SYN-000034,23575300,2026-08-14,400906,72163,Settlement for INV-000034 batch BATCH-000034,BATCH-000034
STL-000035,UTR-SYN-000035,8177800,2026-08-24,123399,22211,Settlement for INV-000035 batch BATCH-000035,BATCH-000035
STL-000036,UTR-SYN-000036,279000,2026-08-18,4667,840,Settlement for INV-000036 batch BATCH-000036,BATCH-000036
STL-000037,UTR-SYN-000037,400600,2026-08-03,6668,1200,Settlement for INV-000037 batch BATCH-000037,BATCH-000037
STL-000038,UTR-SYN-000038,93200,2026-08-03,2227,400,Settlement for INV-000038 batch BATCH-000038,BATCH-000038
STL-000039,UTR-SYN-000039,26307800,2026-08-16,347426,62536,Settlement for INV-000039 batch BATCH-000039,BATCH-000039
STL-000040,UTR-SYN-000040,46000,2026-08-13,642,115,Settlement for INV-000040 batch BATCH-000040,BATCH-000040
STL-000041,UTR-SYN-000041,27177700,2026-08-05,349191,62854,Settlement for INV-000041 batch BATCH-000041,BATCH-000041
STL-000042,UTR-SYN-000042,27200,2026-08-24,399,71,Settlement for INV-000042 batch BATCH-000042,BATCH-000042
STL-000043,UTR-SYN-000043,881100,2026-08-02,21509,3871,Settlement for INV-000043 batch BATCH-000043,BATCH-000043
STL-000044,UTR-SYN-000044,13200,2026-08-22,302,54,Settlement for INV-000044 batch BATCH-000044,BATCH-000044
STL-000045,UTR-SYN-000045,46300,2026-08-20,519,93,Settlement for INV-000045 batch BATCH-000045,BATCH-000045
STL-000046,UTR-SYN-000046,956500,2026-08-22,19840,3571,Settlement for INV-000046 batch BATCH-000046,BATCH-000046
STL-000047,UTR-SYN-000047,3593800,2026-08-15,52982,9536,Settlement for INV-000047 batch BATCH-000047,BATCH-000047
STL-000048,UTR-SYN-000048,81900,2026-08-03,1479,266,Settlement for INV-000048 batch BATCH-000048,BATCH-000048
STL-000049,UTR-SYN-000049,56800,2026-08-08,882,158,Settlement for INV-000049 batch BATCH-000049,BATCH-000049
STL-000050,UTR-SYN-000050,4560000,2026-08-20,112895,20321,Settlement for INV-000050 batch BATCH-000050,BATCH-000050
STL-000051,UTR-SYN-000051,1051200,2026-08-22,12145,2186,Settlement for INV-000051 batch BATCH-000051,BATCH-000051
STL-000052,UTR-SYN-000052,94900,2026-08-24,1736,312,Settlement for INV-000052 batch BATCH-000052,BATCH-000052
STL-000053,UTR-SYN-000053,4963800,2026-08-07,100826,18148,Settlement for INV-000053 batch BATCH-000053,BATCH-000053
